time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:36:35.156,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACC0000033200D50F0100
Oct 29 21:36:35.227,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.230,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACB0000033200D50F0100
Oct 29 21:36:35.302,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:35.303,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.415,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:35.527,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:35.609,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACB00000332000D840100
Oct 29 21:36:35.640,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:35.677,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.679,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACA0000033200D50F0100
Oct 29 21:36:35.752,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.753,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:35.754,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000ACA00000332000D840100
Oct 29 21:36:35.827,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.828,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC900000332000D840100
Oct 29 21:36:35.902,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:35.902,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:35.908,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC900000332000D840100
Oct 29 21:36:35.977,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:36.015,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.127,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.240,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.352,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.393,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC80000033200D50F0100
Oct 29 21:36:36.465,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:36.467,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC70000033200D50F0100
Oct 29 21:36:36.503,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:36:36.540,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:36:36.542,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,1C00000AC700000332000D840100
