time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 28 09:43:31.589,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D00000480005F00000029
Oct 28 09:43:31.663,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.663,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.664,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D00000480009600000029
Oct 28 09:43:31.738,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.739,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D0000048000AA0000000D
Oct 28 09:43:31.776,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.813,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.814,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D0000048000B40000000D
Oct 28 09:43:31.888,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:31.888,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:31.889,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,4D0000048000B40000000D
Oct 28 09:43:31.963,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 28 09:43:32.038,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.150,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.263,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.376,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.488,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.638,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.750,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.863,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:32.976,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:33.088,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:33.238,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:33.350,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:33.463,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 28 09:43:33.576,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
