time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 21:52:12.075,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.076,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,50180000000000000000000000000000
Oct 29 21:52:12.113,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.150,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.158,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,54180000000000000000000000000000
Oct 29 21:52:12.225,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.227,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,58180000000000000000000000000000
Oct 29 21:52:12.263,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.300,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.308,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,5C180000000000000000000000000000
Oct 29 21:52:12.375,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.375,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.378,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,60180000000000000000000000000000
Oct 29 21:52:12.450,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.458,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,64180000000000000000000000000000
Oct 29 21:52:12.488,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.525,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.527,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,68180000000000000000000000000000
Oct 29 21:52:12.600,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.601,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.608,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,6C180000000000000000000000000000
Oct 29 21:52:12.675,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.676,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,70180000000000000000000000000000
Oct 29 21:52:12.713,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.750,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.753,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,74180000000000000000000000000000
Oct 29 21:52:12.825,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.827,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,78180000000000000000000000000000
Oct 29 21:52:12.863,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.900,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.905,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,7C180000000000000000000000000000
Oct 29 21:52:12.975,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:12.976,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:12.978,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,80180000000000000000000000000000
Oct 29 21:52:13.050,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.055,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,84180000000000000000000000000000
Oct 29 21:52:13.088,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:13.125,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.128,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,88180000000000000000000000000000
Oct 29 21:52:13.200,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.201,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 21:52:13.208,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,8C180000000000000000000000000000
Oct 29 21:52:13.275,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 21:52:13.278,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,90180000000000000000000000000000
Oct 29 21:52:13.313,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
