time,conn_handle,peer_addr,dir,op,att_handle,uuid,value
Oct 29 22:07:40.735,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02500400000000000000000000000000
Oct 29 22:07:40.808,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.808,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.810,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02540400000000000000000000000000
Oct 29 22:07:40.883,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.886,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02580400000000000000000000000000
Oct 29 22:07:40.921,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:40.958,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:40.968,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,025C0400000000000000000000000000
Oct 29 22:07:41.033,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.035,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02600400000000000000000000000000
Oct 29 22:07:41.071,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.108,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.110,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02640400000000000000000000000000
Oct 29 22:07:41.183,0x0041,F8:30:02:08:DF:00,Receive,Handle Value Notification,0x0028,FFF2,000000000A00
Oct 29 22:07:41.183,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
Oct 29 22:07:41.186,0x0041,F8:30:02:08:DF:00,Send,Write Request,0x0025,FFF1,02680400000000000000000000000000
Oct 29 22:07:41.258,0x0041,F8:30:02:08:DF:00,Receive,Write Response,,,
